user,review_description,rating,thumbsUpCount,review_date,developer_response,developer_response_date
Selina S,This was literally my only sourceof escape but the recent bugs are killing me... i cant see what song im listening to and I can't pause it. when i close the app it still plays. This kinda sucks... 🤨 pls fix it. Ruins the whole vibe.,3,0,2022-04-19 16:59:26,,
Gareth Beech,"Love the app, I have used it for years but recently the mini player within the has disappeared and no really way to see what's playing,pause or skip tracks and I'm also have the problem of having to close down all apps when disconnecting aux from car because music keeps playing on phone. Spotify is this a bug from recent update or ......?",5,1,2022-04-19 16:09:52,,
A Google user,"Playback controls disappear on android can't pause a song. Have to turn off app to pause a song, yes really. Really basic thing that ruins the experience and frustrating enough to cancel premium membership if this is the service we get. This error has been submitted numerous times in last weeks and still has not been fixed. Don't install or get a membership until this is fixed or you will regret it.",1,10,2022-04-19 16:02:06,,
Animal0ver,"Spotify has always been quite the reliable app, but recently it has been anything but. A recent large update seemed to create a lot of bugs that can't be ignored. Music would stop randomly when I lock my phone, when leaving the app running the player would sometimes not show up forcing me to restart the app to get it back and sometimes a different song would be playing than what it shows in the player. Not exactly the premium experiance I was promised...Hope at least these bugs get fixed soon",3,5,2022-04-19 15:13:30,,
Gary Bayliss,"New update same problems. Plays ok via Bluetooth in the car but when disconnected continues to play on phone. Play bar disappears and notification bar shows play button, but app is still playing. Only way to stop playback is to close app.",2,0,2022-04-19 15:03:48,,
Dawn Rediang,"I downloaded this app 2 months ago and I really like this app and all but to be honest, i've been having some issues with playing the songs I liked. Whenever I try to press the ""play"" button, it only plays the chorus of my liked songs and then continues to play the suggested songs. It wasn't like this before I downloaded it, so I really hope this gets fixed or Idk if this is natural.",2,0,2022-04-19 14:53:25,,
Jenny Greene,"Please fix your app ASAP! I am a premium user and lately this is not premium service. I can't control the music because the play bar goes away randomly. The app keeps playing when it should stop, or stops when it should be playing. It is so unreliable right now. I have done a clean install, contacted support, all but given up on the service. For a company this size who is gladly taking our monthly fees, I would think these bugs would be fixed much quicker. Please get with it, Spotify.",2,26,2022-04-19 14:23:52,,
canikostar99,"How do I keep Spotify from adding algorithm chosen songs to a playlist on mobile? I make playlists where I only want a specific list of songs, but when I leave for a bit during a build and come back later I find that Spotify added like 20 songs and I can't find the option to remove them (and it'd be frustrating and tedious to sit there and remove one song at a time). I don't want the songs that the algorithm is adding on the specific playlist so how do I make them stop",3,0,2022-04-19 14:05:34,,
Tyler Ketter,Truly a lesson in how to make a UI as unintuitive as humanly possible. Figuring out if it's going to play the queue correctly or just pick it's own music is anyone's guess. Constantly stutters on wifi for no reason. Even with downloaded music.,1,1,2022-04-19 12:27:01,,
Samuel Chalk,"App on Android had been getting slower and slower. Takes ages to do anything, no other apps have this issue. Currently horrible user experience. No issue on other OSes.",1,23,2022-04-19 12:01:41,,
Ers Ara,"Now Playing menu keeps on disappearing! Very poor UX using the app, navigation is just unintuitive. Songs keep pausing for no reason at all. Can't even organize playlists on mobile app (folders). And it will eat up your data because forces you to download offline music every month. Very good music library selecion and shuffle algorithm. Playlist enhancement feature is cool.",1,47,2022-04-19 11:50:12,,
Jarno Vdkolk,It doesn't play the next song in the list and instead plays something random I tried fixing my settings to the best of my ability but failed to fix the problem. There also isn't a reset settings options and it if there is it's hard to find. I don't find the app user friendly for those less experienced with these type of things I'll have to look up a guide or tutorial or SMTH on the internet when I have more time.,1,8,2022-04-19 09:54:50,,
Dee Na,"I love Spotify, but the most recent updates disturb my listening habits extremely. Music randomly stops playing and I can't turn it back on because there is no play button. Sometimes the app freezes and I have to close it, open it again so my phone tells me that Spotify stopped working and then I can open it again. Also I can't queue more than one (1) song anymore and it's annoying. I don't want create endless playlists just to have a flow of songs. Please fix these issues, I love your library.",3,25,2022-04-19 09:34:54,,
H W,"I'm getting strange bugs where the preview bar of the currently playing audio disappears. The app randomly pauses podcasts even though I've given it unrestricted access to my battery. The UI is sometimes unresponsive, it feels like something is loading in the background before you can press buttons sometimes, but the problem with this is that the user isn't notified. I have removed the app from my phone and will install when it is updated.",2,11,2022-04-19 07:08:32,,
Kath P,"there's no play , stop, or next button. the songs randomly stopped",1,0,2022-04-19 06:33:59,,
Sam Macaulay,It's a good app but downloading songs shouldn't be a premium luxury As a broke student with no income its an inconvenience not to be able to listen to music offline,3,0,2022-04-19 04:13:44,,
Ayoub Assellam,"Need a little development like the app is so boring and if you want some advice on the design Contact me I will do it for for 10$ and if you implement it I want 1500$, deal? Is fun you know.",5,0,2022-04-19 01:23:04,,
Tj Magajes,"Limited skips, 4-8 ads every ad break, stuck on shuffle, always yelling at me to get premium but doesn't let me buy it because I'm in québec, and made my music 5 times quieter. But other then that it's great",2,0,2022-04-19 00:36:04,,
Robert Berg,Love spotify and loved the app until the last update. Been having alot of bugs where I loose some controls over the app with my headset and the controls disappear in the notification bar. Have to close the app and re open it. It makes it quite annoying to use at work. Could be somthing to do with android though. But my buddy with a completely different phone is having identical issues. Will change the review once it's resolved.,3,2,2022-04-18 23:07:14,,
Rob Loos,"Being a premium user for years I can say that most of time the app has been reliable and useful. But no more. It is changing and the user experience is quickly deteriorating. Some of the issues: 1) EACH time I start it up, it asks if it can use Bluetooth. No matter how many times I confirm it's OK, it will ask it over and over again 2) Currently playing song and/or playlist becomes unaccessible when clicking ""home"" / ""search"" or ""library"". Extremely annoying. 3) When listening music while you're not using the phone, it just stops randomly. Sometimes after a 30 seconds, sometimes after 2-3 minutes. Those issues are relatively new, I never experienced them in the past. Depending on the evolution I'm afraid I might need to decide to turn to another music service.",2,290,2022-04-18 22:39:04,,
Cihan Simsek,"Since the latest update, the user experience is far away from being optimal. Music or podcasts stop all of a sudden. I cannot find the stop/play button because it disappears from time to time and I have no idea why. I am a paying customer and unfortunately thinking about canceling my subscription if there is no improvement anytime soon. I am running the app version 8.7 22.1125 on my Android 12 phone. I deinstalled and reinstalled the app, and I restarted my phone several times, but no change.",1,100,2022-04-18 22:19:15,,
Jhonny,"The new update has a nice UI, but the 'playing song'-display bugs and doesnt show up",3,0,2022-04-18 21:31:20,,
Carl Beke,"Spotify was a solid app until the last few builds. Now, it crashes randomly, doesn't display player controls if I have it running in the background and call it up again, skips ahead a few seconds if I try to minimize it, and will start playing in my car even if I don't have the app open. I've had to force stop the app and clear the cache way too often. When it works, it works well, but that's becoming more the exception than the rule",3,0,2022-04-18 20:26:35,,
Robert lane,App always crashes. Audio and video will unsync. Sometimes no video and just audio plays. Playback buttons will do nothing. Numerous other bugs.,1,0,2022-04-18 20:15:57,,
John Gonzalez-Amoretti,"These latest bugs have made the app unbearable... app crashes ocassionally stopping the music or it doesn't show the music currently playing, requiring me to close it and open it up again, which then stops the whole experience.",3,0,2022-04-18 20:02:26,,
A M,Very boring UI. Need to make it colorful and responsive. Creating playlist is troublesome and can't be found once created. I always need to get to Desktop Spotify to check my playlist.,1,0,2022-04-18 16:29:06,,
Kamil Moczydłowski,"It's amazing how you can make a next song button not working after couple of quick song switches, even though the one in the notifications works fine. Only top 5 songs of the artist isn't fine too",1,0,2022-04-18 15:35:11,,
Machiiya,I download this some week ago it's good but recently there are times that whenever I play a song the panel where it has the play and all those buttons could not be seen. Even in the notification box you won't see the song playing even though it's playing. Hope this gets fixed soon.,4,0,2022-04-18 15:04:27,,
Flooh,"A bit buggy on mobile (Android 12 One UI 4.1), sometimes controller doesn't show what's actually playing, in app player may not show although a song is playing. These are quite big bugs, but I still give 4 stars. Patch it and you'll get 5 from me :).",4,5,2022-04-18 14:48:56,,
Dobos Paul,"Android users quick fix! Downgrade your application to an older version. Uninstall application, download SDK from oficial Spotify website and reinstall the app from SDK, don't forget to stop updating the app afterwards!!!",4,0,2022-04-18 14:22:19,,
Sue Webb,Used to be a great app. Most recent update has made it terrible. It stops frequently and abruptly for no reason (even with downloaded files) and you can't tell what's playing. Please fix it ASAP or I'll be cancelling my premuim subscription.,1,2,2022-04-18 13:12:59,,
Simo,Now playing bar keeps disappearing. It's quite frustrating. Please fix it.,2,0,2022-04-18 12:43:11,,
Marc Pizzinato,"When 5* reviews are negative, it's clear that updates are bringing new bugs and ruining a previously-seamless UX - something inexcusable for an app of Spotify's size. Issues I have include: massive issues loading playlists and/or search results (unrelated to internet connection); queuing a song once actually queues it 5+ times; Now Playing bar doesn't always appear upon app launch. Extremely disappointing service.",1,2,2022-04-18 11:28:19,,
Barbara Wilson,"I've uinstalled and reinstalled and each time after a few minutes of playing I lose the option to pause, rewind, and fast forward, both inside the app and on the lock screen. I'm on the latest version, so not sure what the issue is.",2,0,2022-04-18 05:30:06,,
Ankita Mukherjee,"Stops playing music randomly, and sometimes the widget at the bottom showing the song name and pause/rewind buttons disappears so I can't pause the song that's playing. Fix the bugs please!",1,2,2022-04-18 05:00:39,,
Tom Oh,"Probably the worst software I pay for. Lots of broken functionality. Trying to listen offline leads to perpetual loading until an initial connection is made then while music plays, there's no album images. Action panel with play, pause etc buttons disappears every time I use the app and requires app restart to fix. Play shuffle doesn't work. App is bloated and slow to open. Home page is cluttered. Unable to remove Podcast notifications from a podcast I listened to once. Not OK for subscription.",2,5,2022-04-18 04:26:37,,
Chris Downes,"It's ok,, but now it doesn't have a widget for the lock screen, so I can't change songs without unlocking my phone, going into Spotify, and then hitting the button. Also my offline downloads constantly delete themselves out of nowhere, then I'm stuck with no music.",1,1,2022-04-18 02:40:25,,
H,"After 4 years of being a premium member I can say this is probably the worst music app on the market. Trying to use this offline is such a pain, since offline play is a premium only feature i would expect it to work but it just doesnt 50% of the time. Downloaded podcasts take YEARS to load unless you're specifically in offline mode, download buttons load indefinitely, spotify crashes while playing in the background often, etc etc. Wish I could find an alternative...",1,6,2022-04-18 01:28:23,,
Janet Andree,"Have used spotify for a long time, however, now it won't quit randomly stopping songs. And, I keep losing the controls, which make the app unstable.",1,0,2022-04-17 22:36:45,,
warren arnold,I have been using spotify for years I love it. One change I would like is a second like button that will not automaticaly add the song to a play list. Then spotify could make me better playlists without my main favorites growing so large.,5,1,2022-04-17 16:24:59,,
ThisOldSoul,Best musicentertainment streaming platform out there! You can really train the algorithm to suit your tastes ave you'll never run out of new music too listen to free or premium.,5,1,2022-04-17 15:52:47,,
Vághy Levente,"Shame of software development. It's not even fixable, because it is clearly built wrong from the start. It even tries to load the UI using INTERNET CONNECTION and if your connection is slow you have to switch to offline otherwise it will fail to load even the DOWNLOADED songs. Even the order by alphabetical function is broken. Hire new developers and start over. I wish there was a 'show every song from artist' function, but I guess it's impossible. Updates never fix or add anything. UNRESPONSIVE",1,0,2022-04-17 15:19:49,,
Andrzej Straczyński,"I can't reset my taste profile. I already wrote about this on forum just like other people, but they are don't care. So, if you want nice recommendations for quite a long time, this app isn't for you, because on star recommendations are pretty good. By the way, this is second time I write this comment (it is looks like they delete my first one). And also now there is even at least one bug I found, unfortunately I don't have enough characters to describe it :/ P.S. sry for my English",1,1,2022-04-17 13:14:12,,
Nick,So much crashes on MIUI 12.5.The app is good for listening to songs but please fix this bug.,2,0,2022-04-17 11:21:10,,
Miguel Calix,"High data usage, a lot of push for podcasts instead of music. And finally bad redesign on user interface. Go back to simple and focus on music please.",1,0,2022-04-17 11:09:31,,
Caly k,"Started as a solid 5-star, turned into a broken mess. I can't like songs anymore, trying to look at artist discographies only results in an error message, listening to songs 'offline' requires turning off data entirely and then repeated restarting the app (oh on that note, I can't download songs anymore either nor save playlists) I'd appreciate any help, and yes I have repeatedly redownloaded and logged in/out. This only affects one device and I'm not willing to lose all my music",2,48,2022-04-17 10:35:30,,
Vince Fairbairn,"Very buggy lately. I've been subbed for a few years now and it's in the worst state I've experienced. Now playing bar disappears (requires restart), randomly stops music and starts again, keeps asking for bluetooth access eveytime you open the app. Thats just a few of the bugs. They also removed the in car view for no reason whatsoever and never replaced it with anything. I'm now at the point where checking out the competition is a viable prospect. Terrible decisions for a premium app.",2,6,2022-04-17 10:02:15,,
jordyn ross,"I find this app quite good. I use it almost on a daily basis, and is very enjoyable. And for a very cheap price you can upgrade to premium and get no adds. Even with ads, it is still very enjoyable, and I highly recommend it.",5,1,2022-04-17 07:54:02,,
Phil lip,"Scam. I got premium and the app does not even work at all. How do you even manage to mess up this bad, so many things in this app don't work, even the play/pause button... DO NOT BUY I have seen small children make better apps than this.",1,0,2022-04-17 07:53:07,,
Joe J.,Best music streaming service out there IMO. The app is very easy to use. Everything is very smooth and fluid. The playlists are pretty accurate most of the time. Sound quality its excellent. A paid subscription makes the experience even better.,5,11,2022-04-17 07:35:11,,
Bob Clarke,April 16 2022. App is garbage. So many issues lately. No button to skip or pause. Have to end the program to stop music. For a multi billion dollar company you would think you could get the app right,1,1,2022-04-17 06:54:31,,
Tyler Mahone,Build is completely unstable. Player is broken beyond belief will randomly start playing music completely by itself.,1,0,2022-04-17 06:34:59,,
Joe Teen,"It sounds like many other users are also having this issue - the app doesn't show what song is currently playing, there is no way to pause or restart the song, it randomly stops playing. I have uninstalled and reinstalled the app, logged in and out, cleared my cache, don't everything that I can. Have been a paying Premium member for at least 5 years now and this is the worst user experience I have ever had with this app. Recent update did not fix the problem. Please help",1,3,2022-04-17 05:59:19,,
Danny Perkasa,"Hi Spotify, Lately when I play a music in Spotify app, my play bar doesn't displayed. This issue is oftenly happens. I have to kill the app and open again to resolve it. This is annoying. I'm using Samsung Galaxy A52 with One UI 4.1.",4,0,2022-04-17 03:03:12,,
Gabrielle Albert,quickly fixed the bugs brought on by the latest update after being notified! back to being an easy to use app.,5,1,2022-04-17 00:17:56,,
Kristen Steffenson,"Its such a wonderful experience to have spotify ive tried other apps. But this is the best one yet ive had this account now for 5+years and love it . only small request, when weekly discovery comes out, if we have already hit the dont like button please dont send those same songs again maybe by different artists ok but the same song and artist, that does get old.",5,2,2022-04-16 23:25:57,,
Andre Bernal,"Not good if it needs to be updated constantly. The app crashes and glitches continuously. One update seems to create new bugs. Too much focus on the veneer but not on the basics. On the last update the music played but no player. Lock screen notifications would be there one update, gone the next so I doubt the reliability of it. I also have to quit it every time as it runs in the background when not playing sucking battery. I am a premium member, however it doesn't feel like a quality service.",1,172,2022-04-16 23:17:35,,
Laka Rama,It can create playlist and add downloaded songs to playlists and there is a button where you get free premium no credit card needed for 4 months,5,0,2022-04-16 22:08:35,,
Taylor Morgan,"Constant bugs since update. Player bar at bottom, status bar player, and Bluetooth song info is constantly disappearing. Once I force quit, and reopen everything works. Have to restart at least twice a day.",1,2,2022-04-16 20:12:12,,
Ferdinand Holzer,"since 2 week ago, the queue is broken, sometimes Spotify shows that it's not playing any song while it actually is. When that happens I can't control Playback using my headphones media control buttons. Just. Really. Annoying.",2,0,2022-04-16 18:28:40,,
Apoorv Pandey,"Superb awesome music streaming App available in the whole world! Everything works flawlessly, UI is superb and it's dark feels so much better than other apps. I can listen to music and podcasts online/offline I just need canvas feature and 2FA authentication sign-in for this. Would be great.",4,0,2022-04-16 18:23:27,,
anthony fitzpatrick,"What's up with the latest update keeps crashing have to close the app, play bar disappears, albums play from the start instead of continuing from last played in car etc have to force close it, previous update worked fine!!",1,1,2022-04-16 17:52:15,,
Andrew Walton,Pause and stop buttons keep disappearing meaning I have to uninstall the app to turn music off.,3,0,2022-04-16 17:21:29,,
rek gonz,"back button doesnt work sometimes (like it goes back to 0:00 but the audio itself wouldnt go back and would just continue playing). it also gets messed up when you queue (i.e sometimes the last song you queued is the first and the only one that would appear in the queue list, and you cant edit the queue because you cant see the other songs that are queued). not sure if its a problem with my phone, but please look into it!! the app is perfect otherwise :))",2,0,2022-04-16 16:44:20,,
Andrew Glanz,"i love Spotify but omg please fix your app lol. whenever I open it recently (z fold 2 oneui4.1) it just completely freezes up, forcing me to restart the app at minimum two times before it works. super frustrating and makes me hate using this app on mobile lately.",2,3,2022-04-16 16:24:22,,
Neil Wilkinson,"I've switched to android from using this on ios for 2-3 years, the android version is poor by comparison. I'll play a playlist and there's no UI showing what's playing. Have to close a reopen the app to get the play banner along the bottom to reappear.",3,1,2022-04-16 15:54:06,,
C'est clair,"I love this app, but recently it started to malfunction: when I want to play a song from the beginning (or previous song) and I push the button ""previous"" it just doesn't work",3,0,2022-04-16 15:28:39,,
HARISH CHANDRA GUPTA,"Nice app 👍 I would say best ever UI ever scene, even that concept of advertisement between songs are not so creepy as YouTube ☺️, they are funny as well. Thanks Spotify for providing a great service from yours side.",4,0,2022-04-16 14:33:15,,
Ben H,"Everytime Spotify updates their UI, I want to shoot myself.",1,0,2022-04-16 14:03:53,,
mike mac,New bug found where the UI for controlling the music which is playing doesn't appear making it impossible to change tracks or pause/play music.,2,1,2022-04-16 13:01:00,,
Doel Bhattacharya,"I cannot spend a single day without Spotify. I do not buy Premium subscriptions for anything, but I promise you that Spotify Premium is not a luxury, but a necessity. I will always recommend using Spotify, it is the best app for people who have music running in their blood.",5,2,2022-04-16 12:45:18,,
Matt Hausmann,"Quality is decreasing with every update. Quit pushing podcasts on me, and simplify the app. It's buggy and slow now where it used to be snappy and a pleasure to use.",3,0,2022-04-16 12:43:12,,
Aaron Dean D'souza,FIX THE GODDAMN APP! Player is totally broken after the latest update (around 1st week of April). - Player controls disappear totally after playing a song while browsing the app - leaving me with no way to control the music in-app. - Ways to control music outside the app have also totally disappeared - I have to get back into the app and close the app from my processes just to make a song stop. You guys totally broke the app in favour of a bunch of minor (and stupid) UI changes.,1,18,2022-04-16 12:41:12,,
Steven,Recently when I am playing a song it doesnt show what I am playing and the song controls are missing. Quite annoying,2,0,2022-04-16 12:29:33,,
Niall Hogan,Unusable since the update. Crashes constantly and no working pause button,1,0,2022-04-16 12:24:19,,
Brett Powell,"Bloody hell! First I can't get rid of the bar that shows me what is playing, even when nothing is playing. Now I can't turn off Spotify unless I restart my phone! What the hell are you people doing? I thought this would be rectified pretty quickly. I thought wrong! If things work leave them alone!! I have been enjoying the app for a couple of years without a problem until this happened. Can you fix it? Do you have the decency to reply? Is there anybody there? Customer service stinks💩",1,6,2022-04-16 11:52:43,,
Théo Vessillier,"Edit 04/2022: the app is crashing every 15min, stopping the songs suddenly, not displaying the music player anymore... Maybe you should fix your app for good before giving millions to FC Barcelona... I love Spotify but for a few weeks now it has some bugs and the shuffling is pretty bad, I often get 2 times the same song within 2 hours of listening a playlist with 800 songs... Please fix that it was fine before and it's quite annoying now",2,3,2022-04-16 11:47:09,,
A Google user,"I'm sure it's known by now but the player disappears and a forced quit is required to get it back. Android Galaxy s20 here, with whatever the latest Android os is called.",3,0,2022-04-16 10:19:57,,
susuannec,"Songs has been stopping by itself, doesn't show what's playing and can't be controlled by the car steering buttons anymore.",1,0,2022-04-16 09:46:38,,
Adam,"I've been a Spotify user for the best part of a decade but bugs are starting to ruin my experience. The worst one is every single night whilst I'm asleep Spotify starts playing without prompt whenever it wants, I've taken to just turning my volume all he way down but still I wake up every day and it's been playing all night. Also often times it will stop showing the now playing bar as if nothing is on whilst it is and changes the song whenever it likes which is really irritating whilst driving.",2,5,2022-04-16 08:08:18,,
Thomas Greenwood,"A music app that really struggles to play music. It's never been a great app but recently it has become utter garbage, bugging out and requiring multiple restarts a day, refusing to show downloaded songs when off-line, and a new bug where songs randomly pause for a few seconds then continue, even downloaded ones. Has become such a pain that unless the next update fixes it I will be cancelling my premium account.",1,5,2022-04-16 07:28:14,,
Wesley de Wolde,"Use this app for quite a few years both as a free account and on premium. Can't say I have noticed any improvement on the premium side and the free side just gets worse. A ridiculous amount of ads, forces songs onto your playlist whether they're hidden or not, forces you to be online even if you've downloaded podcasts. It's ok if on premium, if it's the free version it's just the worst",2,96,2022-04-16 07:24:32,,
Abhijit Kalita,Really the best app for listening to music . Totally enjoy my playlists where the songs are picked for me.The plans are somewhat feels satisfying .The UI is so simplistic and usually there are no or close to very few ads in this app,4,1,2022-04-16 06:15:17,,
Dharm Mankad,"There are bugs in the app. UI is also not too friendly, and i would like u to look after these things - 1) songs in a playlist could not be arranged 2) history cannot be deleted 3) there is no option of add to queue when we search for songs 4) last played song could not be closed.",3,2,2022-04-16 06:08:53,,
N .mell,"I've been using Spotify premium for years, its very easy to use and very convenient but these day it started to lagging quiet a lot and took time to open the app which makes me felt kinda frustrated about it. At first I thought it was my internet problem but then other app that required internet connection works perfectly fine. I happened to see other spotify users review, seems like they also face same thing like me. I hope it will be fix soon.",3,15,2022-04-16 05:48:45,,
Satoru Gojo,"The last update ruined my Spotify. The song just randomly pauses for 2 seconds and starts to play again. Also, whenever I try to play a song it plays a different song from the one that I chose.",1,1,2022-04-16 05:35:06,,
Iveniv Iveniv,"When i use my smartwatch to control spotify, the app either becomes very jumpy (playing is jumpy,or stop playing altogether) or the simply quitted from my phone. Even when music continues to play, the app interface does not display properly on my phone at (even within the app, it doesnt display the currently-playing status). It has been going on for a while and no fixing so far. Now I simply wont use spotify on my smartwatch! Please fix it or I am forced to switch music provider. Thanks.",1,1,2022-04-16 05:02:41,,
Chris C,There are too many minor bugs and inconvenient glitches to write down in one place. It's a terrible user experience especially anything related to Bluetooth devices.,1,2,2022-04-16 04:54:47,,
Mohanpreet Singh,"Soo many bugs littered throughout the new update. The app is extremely unstable now. The horizontal bar at the bottom of the screen disappears after a few minutes, but the songs are still playing, so there's no way for me to open the current song and pause it except closing the app. When i press the pause button on my earphones, it stops for 1 second and starts playing again, songs keep playing when i start watching a video, the notification bar doesn't update with the songs and isn't working.",1,51,2022-04-16 02:40:43,,
D V,"UPDATE: Music doesn't play when phone's blocked. Near unusable! Since the last update the currently playing bar at the bottom keeps disappearing. Same for the widget it doesn't work and you can't control the music anymore unless you quit and start it again. Very bothersome, not what I pay for",1,3,2022-04-16 01:38:32,,
thestigmach1,Does not work right. Does not give playback controls most of the time and requires me to restart my phone. Yes everything is up to date. Horrible experience can't believe I'm paying for this,1,3,2022-04-16 01:34:42,,
Christina Clarke,"Used to be great but so many bugs at the moment. If the screen locks the track pauses and you have to unlock to carry on. You can't always press the green play button on a playlist or album, you have to go back out and press the smaller play button. Little irritating things that make it not worth subscribing anymore.",2,21,2022-04-16 01:04:09,,
Jacob Moopo,"Just download the app and it's great , it doesn't use a lot of data. I can't just find the download button.",4,0,2022-04-15 22:44:54,,
Michael Mordal-Huebsch,After the update Spotify stops playing after 5 minutes and you can't even access the pause/skip buttons. Not worth paying premium for a product that doesn't work.,1,2,2022-04-15 22:32:39,,
Andrew Bull,Was a great app. Now it's broken. You can't see play or pause buttons anymore... Which is kinda crazy for a music playing app. I will cancel if this isn't sorted asap.,1,0,2022-04-15 21:44:34,,
Lily C,I've loved Spotify for a while now and its a great app it just doesn't.. work sometimes. My playlist won't update and it says it only is 27 hours long when I know it's way more than that. Songs also won't do the preview thing anymore when I press Edit playlist. The play button isn't even there. :/,3,0,2022-04-15 21:31:50,,
Susan McClelland,"Have always had Premium-loved Spotify and sung it's praises until last few weeks.Keeps stopping mid song -just cuts out. There is no onscreen bar showing song playing-cant stop , start or pause songs.Have to turn phone off to turn Spotify off. I read here many customers saying same thing. Why isn't if sorted? I pay 15 quid a month - come on Spotify-read your customers reviews and fix bugs , otherwise we are off elsewhere !",1,3,2022-04-15 21:14:07,,
Alice Jeavons,"Used to be a good app, but new update has ruined it. I've paid a Spotify subscription every month for about 5 years. My experience with this app over the last few days is likely going to make me cancel my subscription. Music stops playing every 20 seconds or so, the bar at the bottom to play/pause using has been taken out. App is totally unusable now.",1,0,2022-04-15 19:04:22,,
Justyna Maria,"I experienced a lot of bugs within the app, mainly switching off abruptly, not being able to play/ start or showing errors while operating. Desktop version had been uninstalled nearly immediately as it affected how my computer operated with all the errors displayed. Mobile version is a tad better, but still not providing a good user experience in my opinion.",2,2,2022-04-15 19:03:38,,
harnish pithadia,"Too much ads. First of all the price is quite high as for premium subscription as compared to the other online music application. Also, 3 4 ads are being Played after every 2 3 songs. This is annoying. I don't mind buying a premium plan but they should reduce their yearly subscription plan.",1,5,2022-04-15 19:00:39,,
Jeff Hill,Butthole designed interface. Even if you pay for premium you get pop upside constantly in the app about albums and artists you nor anyone cares about. I have premium for NO pop ups by the way.,1,0,2022-04-15 18:33:40,,
Nickolas Talusan,"Terrible UI update, now it's super messy and unorganized. Hate.",4,3,2022-04-15 18:18:32,,
Jaslyn Beard,I have an android so I used YouTube music but when I found out Spotify doesn't require money I rushed to sign in unlike YouTube music when I turn on off my phone it still works,4,0,2022-04-15 17:47:46,,
Chris Ward,"Going down hill. Vers 8.7.20.1261 lost controls until force stopped the app or restarted phone 8.7.22.1125 then plays one connected session before failing again. Udated to latest, worse. Does all the above plus now stops & starts randomly in the track & then finally stops. It was bad enough when it stopped working with my Garmin Zumo but now it doesn't work with my Samsung A51 5G. I have a family account with spotify. I expect a refund for this month and if this doesn't sort quickly, acct closed",1,0,2022-04-15 17:44:58,,
Huda Arifin,"Is it just me or the music oftenly stops playing when I connect it to bluetooth speakers? Also, where the pause, previous, and next button in swipe down went to? I am pretty sure it was there.",2,0,2022-04-15 17:43:45,,
Seth Peasley,"The app steals focus and immediately starts playing as soon as you open the app. Did I want to just put a song I heard elsewhere into a playlist, while continuing to listen aduio from something else? Too bad! Also, they broke the They Might Be Giants album Apollo 18. That's more of a service issue, but given aggressively unresponsive they are to fixing the issue, I don't feel bad docking them points",2,0,2022-04-15 17:40:57,,
Peter Dale,Over time I have asked for some quite unusual music. It has played it every time. Never let me down.,5,0,2022-04-15 16:53:33,,
Kait Walters,App used to work great! I use this app daily at work. Lately it will not give the buttons to control your music while listening. Major pain when I need to pause it for work.,2,1,2022-04-15 15:42:51,,
Chase,The connect Bluetooth notification every time I open the app is mad annoying. And they changed the library to include random radio playlists I listened to like 1 time instead of my actual music. App used to be good but all these bad unnecessary updates ruin it.,1,1,2022-04-15 15:22:14,,
James Hennefeld,"The latest version is extremely buggy. Music stops for no reason, sometimes lose the play/pause buttons while music is playing and you have to exit the app and restart it. Looking forward to the next update which will Hopefully fix the bugs",2,1,2022-04-15 15:20:54,,
Beauty Thérèse Nyembo,"It used to work perfectly. I really enjoy the Spotify app however the app keeps on crashing, the music will just stop for no reason etc and it keeps on happening eventhough I tried quitting the app.",1,0,2022-04-15 15:11:40,,
Jaipal Sachdev,There's no control buttons when a song plays...please fix it,1,0,2022-04-15 15:09:46,,
Tricia Asibal,"Please fix bugs for Samsung Galaxy, this is an actual joke - now playing button disappears, and Bluetooth connection continually cuts off. App is currently unusable.",1,0,2022-04-15 15:07:20,,
Duncan Moore,"15 Apr 2022 update: the buttons disappear so you start playing something then it becomes impossible to pause, like or skip tracks without restarting the app. Something is obviously broken in a recent update. Spotify has been so buggy for most of the time I've had it. When I get time I'll seriously look at cancelling premium and switching to a competitor.",2,31,2022-04-15 14:31:06,,
Te Arikirangi Mamaku,"The app has become very unstable. Songs randomly stop playing, and for some reason, possibly a recent update, the player no longer shows the play, pause or skip buttons. Spotify, I want to speak to your manager!!",1,1,2022-04-15 13:03:26,,
Akos M. Grosz,"ugh stop pushing the joe rogan podcast into my face every time i open this app. i get that you spent a lot on it, but either recommend something i might actually like or simply dont recommend a podcast at the top of the home screen when i 98% just listen to music anyway. also, the recent redesign of the library seems to me as a fail",1,2,2022-04-15 12:08:37,,
beelin baxter,"Since update on 5 Apr, the app has been playing up. For example, the stop button disappeared, only shows the play button. This means I can't control the play from my headphones",3,0,2022-04-15 12:05:13,,
John G.,"The app has become increasingly less stable since the last update and they consistently make random, unnecessary changes to the layout of the mobile app at least every other month. Change for the sake of change is annoying, it's not an improvement just because you move a button.",2,5,2022-04-15 11:59:50,,
Mark Hewitt,"I use this app all the time and overall I'd recommend, but it's a bit buggy of late, seemingly after every android update. Pausing during tracks like it's buffering, control buttons disappearing, refusing to pause or shut down. Reinstall of the app usually fixes it, but no one wants to be doing that every time and all tracks are forgotten when you do",3,5,2022-04-15 11:07:02,,
